betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
16,66,STANJAMES,34.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
30,21,BETFAIRSPORT,51.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
24,12,MATCHBOOK,150.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
2,-200,BFX*,143.0,2015,Aminata,Love Injected,/eurovision/2015/latvia,final,Latvia,Latvia
4,153,UNIBET,51.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
5,145,BET365,67.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
18,139,YOUWIN,67.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
15,131,BOYLESPORTS,81.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
21,124,CORAL,41.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
13,124,SKYBET,67.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
20,124,BETVICTOR,46.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
22,108,TITANBET,51.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
23,105,BWIN,34.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
6,103,PAF,51.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
11,92,SPORTINGBET,67.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
17,87,INTERTOPS,51.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
1,82,PADDYPOWER,41.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
14,76,BETFRED,67.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
19,72,BETWAY,51.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
16,66,STANJAMES,41.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
30,21,BETFAIRSPORT,29.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
24,12,MATCHBOOK,,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
2,-200,BFX*,133.0,2015,Nadav Guedj,Golden Boy,/eurovision/2015/israel,final,Israel,Israel
4,153,UNIBET,34.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
5,145,BET365,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
18,139,YOUWIN,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
15,131,BOYLESPORTS,41.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
21,124,CORAL,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
13,124,SKYBET,51.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
20,124,BETVICTOR,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
22,108,TITANBET,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
23,105,BWIN,51.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
6,103,PAF,34.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
11,92,SPORTINGBET,41.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
17,87,INTERTOPS,51.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
1,82,PADDYPOWER,51.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
14,76,BETFRED,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
19,72,BETWAY,51.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
16,66,STANJAMES,41.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
30,21,BETFAIRSPORT,67.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
24,12,MATCHBOOK,100.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
2,-200,BFX*,105.0,2015,E. Hüseynov,Hour Of The Wolf,/eurovision/2015/azerbaijan,final,Azerbaijan,Azerbaijan
4,153,UNIBET,34.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
5,145,BET365,81.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
18,139,YOUWIN,81.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
15,131,BOYLESPORTS,51.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
21,124,CORAL,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
13,124,SKYBET,81.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
20,124,BETVICTOR,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
22,108,TITANBET,67.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
23,105,BWIN,51.0,2015,Edurne,Amanecer,/eurovision/2015/spain,final,Spain,Spain
